VendorNumber,VendorName,Brand,PurchasePrice,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
12546,JIM BEAM BRANDS COMPANY,1385,20.45,26.990000000000002,164192,3357726.4,68072,1889411.28,749847.83,53595.98,123880.97,-1468315.1199999999,-77.71283761998076,0.4145877996491912,0.5627055498029857
8004,SAZERAC CO INC,5103,17.14,23.99,176792,3030214.88,81373,2049684.27,691431.0199999999,149509.35,50293.62,-980530.6099999999,-47.83812923538706,0.4602753518258745,0.6764154857559145
17035,PERNOD RICARD USA,8000,53.96,67.99,55036,2969742.56,24956,1718912.44,855275.82,45860.4,123780.22,-1250830.12,-72.7686932092946,0.45344865179155464,0.5788085685110699
3960,DIAGEO NORTH AMERICA INC,2432,17.59,22.99,167572,2947591.48,76290,1779473.0999999999,683193.59,60064.09,257032.07,-1168118.3800000001,-65.6440594690642,0.45526698971188506,0.6037041130272232
17035,PERNOD RICARD USA,5365,14.84,18.99,194332,2883886.88,88409,1698120.91,612278.59,69600.74,123780.22,-1185765.97,-69.82812372294504,0.45493794125517156,0.5888306236200221
3960,DIAGEO NORTH AMERICA INC,3876,13.95,19.99,203848,2843679.6,122064,2311071.36,574269.7699999999,224272.91999999998,257032.07,-532608.2400000002,-23.045945236411924,0.5987991052156508,0.8127045536353673
1392,CONSTELLATION BRANDS INC,3913,14.28,17.99,193924,2769234.72,89248,1642525.52,514912.81999999995,163976.83,79528.99,-1126709.2000000002,-68.59614576947335,0.4602215300839504,0.5931333693519486
8004,SAZERAC CO INC,3522,9.62,12.99,287596,2766673.52,132926,1727286.74,441496.35000000003,244219.99,50293.62,-1039386.78,-60.17453593142271,0.4621969707506363,0.624318961927969
1392,CONSTELLATION BRANDS INC,2114,9.41,12.99,292908,2756264.28,136009,1792756.91,437239.07,249889.52,79528.99,-963507.3699999999,-53.74445161112222,0.4643403389460172,0.6504299761850123
4425,MARTIGNETTI COMPANIES,11219,8.44,12.99,320120,2701812.8,141919,1994843.73,376448.96,15928.98,144929.24,-706969.0699999998,-35.43982214586803,0.44333062601524426,0.7383352873300475
9552,M S WALKER INC,3893,7.93,9.99,325788,2583498.84,155963,1558070.37,325374.3,286550.87,55551.82,-1025428.4699999997,-65.81400235472033,0.47872542880646307,0.6030853762643842
1128,BROWN-FORMAN CORP,811,19.84,29.99,130216,2583485.44,59163,1733752.3699999999,476875.6,62121.15,68601.68,-849733.0700000001,-49.01121317573167,0.45434508816120905,0.6710904358725551
3960,DIAGEO NORTH AMERICA INC,2443,13.48,16.99,190616,2569503.68,90599,1719639.01,518743.22,166459.52,257032.07,-849864.6700000002,-49.42110902683001,0.47529588282200863,0.6692494832309405
